Date_of_report,Date_of_statistic_reported,Security_region_code,Security_region,Total_cases_reported,Total_deceased_reported
7/2/2021 10:00,10/4/2020,VR01,Groningen,3,0
7/2/2021 10:00,10/5/2020,VR01,Groningen,3,0
7/2/2021 10:00,10/6/2020,VR01,Groningen,8,0
7/2/2021 10:00,10/7/2020,VR01,Groningen,7,0
7/2/2021 10:00,10/8/2020,VR01,Groningen,8,0
7/2/2021 10:00,10/9/2020,VR01,Groningen,12,0
7/2/2021 10:00,10/10/2020,VR01,Groningen,7,0
7/2/2021 10:00,10/11/2020,VR01,Groningen,6,0
7/2/2021 10:00,10/12/2020,VR01,Groningen,6,0
7/2/2021 10:00,10/13/2020,VR01,Groningen,10,0
7/2/2021 10:00,10/14/2020,VR01,Groningen,9,0
7/2/2021 10:00,10/15/2020,VR01,Groningen,11,0
7/2/2021 10:00,10/16/2020,VR01,Groningen,13,1
7/2/2021 10:00,10/17/2020,VR01,Groningen,9,0
7/2/2021 10:00,10/18/2020,VR01,Groningen,7,0
7/2/2021 10:00,10/19/2020,VR01,Groningen,5,0
7/2/2021 10:00,10/20/2020,VR01,Groningen,8,0
7/2/2021 10:00,10/21/2020,VR01,Groningen,11,2
7/2/2021 10:00,10/22/2020,VR01,Groningen,13,0
7/2/2021 10:00,10/23/2020,VR01,Groningen,12,0
7/2/2021 10:00,10/24/2020,VR01,Groningen,8,0
7/2/2021 10:00,10/25/2020,VR01,Groningen,8,0
7/2/2021 10:00,10/26/2020,VR01,Groningen,7,0
7/2/2021 10:00,10/27/2020,VR01,Groningen,3,0
7/2/2021 10:00,10/28/2020,VR01,Groningen,8,0
7/2/2021 10:00,10/29/2020,VR01,Groningen,13,0
7/2/2021 10:00,10/30/2020,VR01,Groningen,6,0
7/2/2021 10:00,10/31/2020,VR01,Groningen,9,3
7/2/2021 10:00,11/1/2020,VR01,Groningen,3,2
7/2/2021 10:00,11/2/2020,VR01,Groningen,6,1
7/2/2021 10:00,11/3/2020,VR01,Groningen,13,0
7/2/2021 10:00,11/4/2020,VR01,Groningen,8,0
7/2/2021 10:00,11/5/2020,VR01,Groningen,1,0
7/2/2021 10:00,11/6/2020,VR01,Groningen,5,3
7/2/2021 10:00,11/7/2020,VR01,Groningen,2,0
7/2/2021 10:00,11/8/2020,VR01,Groningen,0,0
7/2/2021 10:00,11/9/2020,VR01,Groningen,1,1
7/2/2021 10:00,11/10/2020,VR01,Groningen,10,0
7/2/2021 10:00,11/11/2020,VR01,Groningen,7,1
7/2/2021 10:00,11/12/2020,VR01,Groningen,4,0
7/2/2021 10:00,11/13/2020,VR01,Groningen,6,0
7/2/2021 10:00,11/14/2020,VR01,Groningen,9,0
7/2/2021 10:00,11/15/2020,VR01,Groningen,2,0
7/2/2021 10:00,11/16/2020,VR01,Groningen,2,0
7/2/2021 10:00,11/17/2020,VR01,Groningen,5,0
7/2/2021 10:00,11/18/2020,VR01,Groningen,10,2
7/2/2021 10:00,11/19/2020,VR01,Groningen,10,0
7/2/2021 10:00,11/20/2020,VR01,Groningen,4,0
7/2/2021 10:00,11/21/2020,VR01,Groningen,5,1
7/2/2021 10:00,11/22/2020,VR01,Groningen,3,0
7/2/2021 10:00,11/23/2020,VR01,Groningen,5,0
7/2/2021 10:00,11/24/2020,VR01,Groningen,6,0
7/2/2021 10:00,11/25/2020,VR01,Groningen,8,1
7/2/2021 10:00,11/26/2020,VR01,Groningen,12,0
7/2/2021 10:00,11/27/2020,VR01,Groningen,4,0
7/2/2021 10:00,11/28/2020,VR01,Groningen,5,0
7/2/2021 10:00,11/29/2020,VR01,Groningen,13,0
7/2/2021 10:00,11/30/2020,VR01,Groningen,7,0
7/2/2021 10:00,12/1/2020,VR01,Groningen,15,0
7/2/2021 10:00,12/2/2020,VR01,Groningen,16,0
7/2/2021 10:00,12/3/2020,VR01,Groningen,8,1
7/2/2021 10:00,12/4/2020,VR01,Groningen,17,1
7/2/2021 10:00,12/5/2020,VR01,Groningen,15,1
7/2/2021 10:00,12/6/2020,VR01,Groningen,6,0
7/2/2021 10:00,12/7/2020,VR01,Groningen,12,0
7/2/2021 10:00,12/8/2020,VR01,Groningen,15,1
7/2/2021 10:00,12/9/2020,VR01,Groningen,20,0
7/2/2021 10:00,12/10/2020,VR01,Groningen,13,1
7/2/2021 10:00,12/11/2020,VR01,Groningen,14,0
7/2/2021 10:00,12/12/2020,VR01,Groningen,21,0
7/2/2021 10:00,12/13/2020,VR01,Groningen,10,2
7/2/2021 10:00,12/14/2020,VR01,Groningen,10,0
7/2/2021 10:00,12/15/2020,VR01,Groningen,27,0
7/2/2021 10:00,12/16/2020,VR01,Groningen,26,0
7/2/2021 10:00,12/17/2020,VR01,Groningen,16,1
7/2/2021 10:00,12/18/2020,VR01,Groningen,34,2
7/2/2021 10:00,12/19/2020,VR01,Groningen,24,1
7/2/2021 10:00,12/20/2020,VR01,Groningen,16,0
7/2/2021 10:00,12/21/2020,VR01,Groningen,19,0
7/2/2021 10:00,12/22/2020,VR01,Groningen,35,1
7/2/2021 10:00,12/23/2020,VR01,Groningen,35,0
7/2/2021 10:00,12/24/2020,VR01,Groningen,37,1
7/2/2021 10:00,12/25/2020,VR01,Groningen,25,1
7/2/2021 10:00,12/26/2020,VR01,Groningen,12,0
7/2/2021 10:00,12/27/2020,VR01,Groningen,13,1
7/2/2021 10:00,12/28/2020,VR01,Groningen,25,0
7/2/2021 10:00,12/29/2020,VR01,Groningen,23,2
7/2/2021 10:00,12/30/2020,VR01,Groningen,42,1
7/2/2021 10:00,12/31/2020,VR01,Groningen,37,2
7/2/2021 10:00,1/1/2021,VR01,Groningen,29,0
7/2/2021 10:00,1/2/2021,VR01,Groningen,13,3
7/2/2021 10:00,1/3/2021,VR01,Groningen,8,1
7/2/2021 10:00,1/4/2021,VR01,Groningen,29,4
7/2/2021 10:00,1/5/2021,VR01,Groningen,25,1
7/2/2021 10:00,1/6/2021,VR01,Groningen,19,0
7/2/2021 10:00,1/7/2021,VR01,Groningen,20,3
7/2/2021 10:00,1/8/2021,VR01,Groningen,9,0
7/2/2021 10:00,1/9/2021,VR01,Groningen,6,0
7/2/2021 10:00,1/10/2021,VR01,Groningen,6,0
7/2/2021 10:00,1/11/2021,VR01,Groningen,13,0
7/2/2021 10:00,1/12/2021,VR01,Groningen,19,0
7/2/2021 10:00,1/13/2021,VR01,Groningen,14,0
7/2/2021 10:00,1/14/2021,VR01,Groningen,14,0
7/2/2021 10:00,1/15/2021,VR01,Groningen,21,1
7/2/2021 10:00,1/16/2021,VR01,Groningen,14,0
7/2/2021 10:00,1/17/2021,VR01,Groningen,8,0
7/2/2021 10:00,1/18/2021,VR01,Groningen,7,0
7/2/2021 10:00,1/19/2021,VR01,Groningen,14,0
7/2/2021 10:00,1/20/2021,VR01,Groningen,20,1
7/2/2021 10:00,1/21/2021,VR01,Groningen,20,0
7/2/2021 10:00,1/22/2021,VR01,Groningen,10,1
7/2/2021 10:00,1/23/2021,VR01,Groningen,1,0
7/2/2021 10:00,1/24/2021,VR01,Groningen,6,0
7/2/2021 10:00,1/25/2021,VR01,Groningen,14,0
7/2/2021 10:00,1/26/2021,VR01,Groningen,14,0
7/2/2021 10:00,1/27/2021,VR01,Groningen,5,0
7/2/2021 10:00,1/28/2021,VR01,Groningen,13,0
7/2/2021 10:00,1/29/2021,VR01,Groningen,7,1
7/2/2021 10:00,1/30/2021,VR01,Groningen,7,0
7/2/2021 10:00,1/31/2021,VR01,Groningen,4,2
7/2/2021 10:00,2/1/2021,VR01,Groningen,9,0
7/2/2021 10:00,2/2/2021,VR01,Groningen,17,0
7/2/2021 10:00,2/3/2021,VR01,Groningen,5,1
7/2/2021 10:00,2/4/2021,VR01,Groningen,16,1
7/2/2021 10:00,2/5/2021,VR01,Groningen,18,2
7/2/2021 10:00,2/6/2021,VR01,Groningen,7,1
7/2/2021 10:00,2/7/2021,VR01,Groningen,4,0
7/2/2021 10:00,2/8/2021,VR01,Groningen,7,0
7/2/2021 10:00,2/9/2021,VR01,Groningen,11,1
7/2/2021 10:00,2/10/2021,VR01,Groningen,16,1
7/2/2021 10:00,2/11/2021,VR01,Groningen,20,0
7/2/2021 10:00,2/12/2021,VR01,Groningen,15,0
7/2/2021 10:00,2/13/2021,VR01,Groningen,10,0
7/2/2021 10:00,2/14/2021,VR01,Groningen,13,3
7/2/2021 10:00,2/15/2021,VR01,Groningen,2,2
7/2/2021 10:00,2/16/2021,VR01,Groningen,22,1
7/2/2021 10:00,2/17/2021,VR01,Groningen,13,2
7/2/2021 10:00,2/18/2021,VR01,Groningen,24,1
7/2/2021 10:00,2/19/2021,VR01,Groningen,25,0
7/2/2021 10:00,2/20/2021,VR01,Groningen,7,0
7/2/2021 10:00,2/21/2021,VR01,Groningen,6,0
7/2/2021 10:00,2/22/2021,VR01,Groningen,6,2
7/2/2021 10:00,2/23/2021,VR01,Groningen,13,0
7/2/2021 10:00,2/24/2021,VR01,Groningen,22,1
7/2/2021 10:00,2/25/2021,VR01,Groningen,10,1
7/2/2021 10:00,2/26/2021,VR01,Groningen,21,2
7/2/2021 10:00,2/27/2021,VR01,Groningen,8,2
7/2/2021 10:00,2/28/2021,VR01,Groningen,5,1
7/2/2021 10:00,3/1/2021,VR01,Groningen,9,0
7/2/2021 10:00,3/2/2021,VR01,Groningen,14,0
7/2/2021 10:00,3/3/2021,VR01,Groningen,9,0
7/2/2021 10:00,3/4/2021,VR01,Groningen,6,1
7/2/2021 10:00,3/5/2021,VR01,Groningen,15,1
7/2/2021 10:00,3/6/2021,VR01,Groningen,8,1
7/2/2021 10:00,3/7/2021,VR01,Groningen,7,0
7/2/2021 10:00,3/8/2021,VR01,Groningen,2,0
7/2/2021 10:00,3/9/2021,VR01,Groningen,4,1
7/2/2021 10:00,3/10/2021,VR01,Groningen,9,0
7/2/2021 10:00,3/11/2021,VR01,Groningen,13,0
7/2/2021 10:00,3/12/2021,VR01,Groningen,7,0
7/2/2021 10:00,3/13/2021,VR01,Groningen,5,1
7/2/2021 10:00,3/14/2021,VR01,Groningen,5,0
7/2/2021 10:00,3/15/2021,VR01,Groningen,4,0
7/2/2021 10:00,3/16/2021,VR01,Groningen,8,3
7/2/2021 10:00,3/17/2021,VR01,Groningen,16,1
7/2/2021 10:00,3/18/2021,VR01,Groningen,8,0
7/2/2021 10:00,3/19/2021,VR01,Groningen,15,0
7/2/2021 10:00,3/20/2021,VR01,Groningen,2,2
7/2/2021 10:00,3/21/2021,VR01,Groningen,2,0
7/2/2021 10:00,3/22/2021,VR01,Groningen,6,0
7/2/2021 10:00,3/23/2021,VR01,Groningen,9,0
7/2/2021 10:00,3/24/2021,VR01,Groningen,16,0
7/2/2021 10:00,3/25/2021,VR01,Groningen,15,0
7/2/2021 10:00,3/26/2021,VR01,Groningen,16,0
7/2/2021 10:00,3/27/2021,VR01,Groningen,7,0
7/2/2021 10:00,3/28/2021,VR01,Groningen,10,0
7/2/2021 10:00,3/29/2021,VR01,Groningen,5,2
7/2/2021 10:00,3/30/2021,VR01,Groningen,21,0
7/2/2021 10:00,3/31/2021,VR01,Groningen,13,0
7/2/2021 10:00,4/1/2021,VR01,Groningen,11,3
7/2/2021 10:00,4/2/2021,VR01,Groningen,6,2
7/2/2021 10:00,4/3/2021,VR01,Groningen,8,0
7/2/2021 10:00,4/4/2021,VR01,Groningen,5,1
7/2/2021 10:00,4/5/2021,VR01,Groningen,7,2
7/2/2021 10:00,4/6/2021,VR01,Groningen,5,1
7/2/2021 10:00,4/7/2021,VR01,Groningen,8,0
7/2/2021 10:00,4/8/2021,VR01,Groningen,9,0
7/2/2021 10:00,4/9/2021,VR01,Groningen,13,0
7/2/2021 10:00,4/10/2021,VR01,Groningen,7,0
7/2/2021 10:00,4/11/2021,VR01,Groningen,3,0
7/2/2021 10:00,4/12/2021,VR01,Groningen,5,0
7/2/2021 10:00,4/13/2021,VR01,Groningen,7,1
7/2/2021 10:00,4/14/2021,VR01,Groningen,12,0
7/2/2021 10:00,4/15/2021,VR01,Groningen,9,0
7/2/2021 10:00,4/16/2021,VR01,Groningen,11,0
7/2/2021 10:00,4/17/2021,VR01,Groningen,6,0
7/2/2021 10:00,4/18/2021,VR01,Groningen,6,0
7/2/2021 10:00,4/19/2021,VR01,Groningen,6,0
7/2/2021 10:00,4/20/2021,VR01,Groningen,12,1
7/2/2021 10:00,4/21/2021,VR01,Groningen,16,0
7/2/2021 10:00,4/22/2021,VR01,Groningen,8,1
7/2/2021 10:00,4/23/2021,VR01,Groningen,11,2
7/2/2021 10:00,4/24/2021,VR01,Groningen,5,1
7/2/2021 10:00,4/25/2021,VR01,Groningen,5,0
7/2/2021 10:00,4/26/2021,VR01,Groningen,6,0
7/2/2021 10:00,4/27/2021,VR01,Groningen,9,0
7/2/2021 10:00,4/28/2021,VR01,Groningen,11,1
7/2/2021 10:00,4/29/2021,VR01,Groningen,6,3
7/2/2021 10:00,4/30/2021,VR01,Groningen,12,0
7/2/2021 10:00,5/1/2021,VR01,Groningen,1,0
7/2/2021 10:00,5/2/2021,VR01,Groningen,7,0
7/2/2021 10:00,5/3/2021,VR01,Groningen,3,0
7/2/2021 10:00,5/4/2021,VR01,Groningen,9,0
7/2/2021 10:00,5/5/2021,VR01,Groningen,9,2
7/2/2021 10:00,5/6/2021,VR01,Groningen,4,1
7/2/2021 10:00,5/7/2021,VR01,Groningen,5,0
7/2/2021 10:00,5/8/2021,VR01,Groningen,6,0
7/2/2021 10:00,5/9/2021,VR01,Groningen,6,0
7/2/2021 10:00,5/10/2021,VR01,Groningen,2,0
7/2/2021 10:00,5/11/2021,VR01,Groningen,8,0
7/2/2021 10:00,5/12/2021,VR01,Groningen,6,0
7/2/2021 10:00,5/13/2021,VR01,Groningen,4,0
7/2/2021 10:00,5/14/2021,VR01,Groningen,5,0
7/2/2021 10:00,5/15/2021,VR01,Groningen,1,0
7/2/2021 10:00,5/16/2021,VR01,Groningen,1,0
7/2/2021 10:00,5/17/2021,VR01,Groningen,2,0
7/2/2021 10:00,5/18/2021,VR01,Groningen,2,0
7/2/2021 10:00,5/19/2021,VR01,Groningen,5,1
7/2/2021 10:00,5/20/2021,VR01,Groningen,4,0
7/2/2021 10:00,5/21/2021,VR01,Groningen,2,1
7/2/2021 10:00,5/22/2021,VR01,Groningen,1,0
7/2/2021 10:00,5/23/2021,VR01,Groningen,1,0
7/2/2021 10:00,5/24/2021,VR01,Groningen,0,0
7/2/2021 10:00,5/25/2021,VR01,Groningen,1,0
7/2/2021 10:00,5/26/2021,VR01,Groningen,3,0
7/2/2021 10:00,5/27/2021,VR01,Groningen,2,1
7/2/2021 10:00,5/28/2021,VR01,Groningen,4,0
7/2/2021 10:00,5/29/2021,VR01,Groningen,1,0
7/2/2021 10:00,5/30/2021,VR01,Groningen,0,0
7/2/2021 10:00,5/31/2021,VR01,Groningen,1,0
7/2/2021 10:00,6/1/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/2/2021,VR01,Groningen,2,0
7/2/2021 10:00,6/3/2021,VR01,Groningen,1,0
7/2/2021 10:00,6/4/2021,VR01,Groningen,1,0
7/2/2021 10:00,6/5/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/6/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/7/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/8/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/9/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/10/2021,VR01,Groningen,1,0
7/2/2021 10:00,6/11/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/12/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/13/2021,VR01,Groningen,1,0
7/2/2021 10:00,6/14/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/15/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/16/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/17/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/18/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/19/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/20/2021,VR01,Groningen,1,0
7/2/2021 10:00,6/21/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/22/2021,VR01,Groningen,1,0
7/2/2021 10:00,6/23/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/24/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/25/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/26/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/27/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/28/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/29/2021,VR01,Groningen,0,0
7/2/2021 10:00,6/30/2021,VR01,Groningen,0,0
7/2/2021 10:00,7/1/2021,VR01,Groningen,1,0
7/2/2021 10:00,7/2/2021,VR01,Groningen,0,0
7/2/2021 10:00,7/1/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/2/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/3/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/4/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/5/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/6/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/7/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/8/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/9/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/10/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/11/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/12/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/13/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/14/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/15/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/16/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/17/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/18/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/19/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/20/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/21/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/22/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/23/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/24/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/25/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/26/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/27/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/28/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/29/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/30/2020,VR02,Fryslân,0,0
7/2/2021 10:00,7/31/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/1/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/2/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/3/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/4/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/5/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/6/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/7/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/8/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/9/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/10/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/11/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/12/2020,VR02,Fryslân,1,0
7/2/2021 10:00,8/13/2020,VR02,Fryslân,2,0
7/2/2021 10:00,8/14/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/15/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/16/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/17/2020,VR02,Fryslân,1,0
7/2/2021 10:00,8/18/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/19/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/20/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/21/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/22/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/23/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/24/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/25/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/26/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/27/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/28/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/29/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/30/2020,VR02,Fryslân,0,0
7/2/2021 10:00,8/31/2020,VR02,Fryslân,0,0
7/2/2021 10:00,9/1/2020,VR02,Fryslân,0,0
7/2/2021 10:00,9/2/2020,VR02,Fryslân,0,0
7/2/2021 10:00,9/3/2020,VR02,Fryslân,0,0
7/2/2021 10:00,9/4/2020,VR02,Fryslân,0,0
7/2/2021 10:00,9/5/2020,VR02,Fryslân,1,0
7/2/2021 10:00,9/6/2020,VR02,Fryslân,0,0
7/2/2021 10:00,9/7/2020,VR02,Fryslân,0,0
7/2/2021 10:00,9/8/2020,VR02,Fryslân,0,0
7/2/2021 10:00,9/9/2020,VR02,Fryslân,0,0
7/2/2021 10:00,9/10/2020,VR02,Fryslân,0,0
7/2/2021 10:00,9/11/2020,VR02,Fryslân,1,0
7/2/2021 10:00,9/12/2020,VR02,Fryslân,1,0
7/2/2021 10:00,9/13/2020,VR02,Fryslân,1,0
7/2/2021 10:00,9/14/2020,VR02,Fryslân,0,0
7/2/2021 10:00,9/15/2020,VR02,Fryslân,2,0
7/2/2021 10:00,9/16/2020,VR02,Fryslân,0,0
